Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Kuopio tavara		Kuot			Liikennepaikan osa (Kuopio)	465+500	01139		Kuopio			K	K	62.897796	27.697282
Kuopio Iloharju		Ilh			Liikennepaikan osa (Kuopio)	462+550	01366		Kuopio					62.8913	27.644033
Kurkimäki		Krm			Liikennepaikka	444+074	00406	Pieksämäki–Kontiomäki	Kuopio	K			K	62.771886	27.517621
Kuurila		Ku			Liikennepaikka	138+769	00626	Riihimäki–Tampere	Hämeenlinna	K				61.133691	23.994903
Kuusankoski		Kuk			Liikennepaikka	199+290	00537	Kouvola–Kuusankoski	Kouvola	M		K	K	60.921019	26.656252
Kuusikkoniemi		Ksn			Liikennepaikka	906+763	01356	Oulu–Kontiomäki	Paltamo	K				64.392909	27.919899
Kylänlahti		Kyn			Seisake	742+912	00937	Joensuu–Nurmes	Lieksa					63.361403	29.75243
Kymi	Kymmene	Ky			Liikennepaikka	233+450	00534	Kouvola–Kotka	Kotka	M		K	K	60.539229	26.90714
Kyminlinna		Kln			Seisake	237+255	00981	Kouvola–Kotka	Kotka					60.508258	26.895812
Kyrö		Kö			Liikennepaikka	232+875	00139	Toijala–Turku	Karinainen	K			K	60.702716	22.748862
Kälviä	Kelviå	Klv			Liikennepaikka	570+273	00316	Seinäjoki–Oulu	Kokkola	K				63.863974	23.493255
Köykkäri		Kök			Liikennepaikka	486+491	01144	Seinäjoki–Oulu	Kauhava	K				63.343804	22.772334
Laajavuori		Lav			Liikennepaikka	14+527	01341	Huopalahti–Havukoski	Vantaa	K				60.282453	24.851146
Lahdenperä		Lpr			Liikennepaikka	267+080	01149	Tampere–Jyväskylä	Jämsä	K				61.811782	24.944751
Lahnaslampi		Lhn			Liikennepaikka	880+297	00871	Vuokatti–Lahnaslampi	Sotkamo			K		64.120658	28.072026
